date,day_close_rate,code,name,voucher_usage_rate,utilization_usage_rate,voucher_utilization_ratio,after_market_p,score,trust_cost,trust_ratio,trust_bs,self_cost,self_ratio,self_bs,foreign_cost,foreign_ratio,foreign_bs,external_disk,inner_disk,tail_volume,volume,close,low,high,open
20000104,,1722,台肥,0.04,29.67,0.15,,,,,,,,,,0.04,,,,,5121.0,37.0,37.0,37.9,37.1
20000105,,1722,台肥,0.06,30.33,0.18,,,,,,,,,,0.04,,,,,6792.0,38.2,37.1,39.4,37.1
20000106,,1722,台肥,0.04,30.89,0.13,,,,,,,,,,0.03,,,,,7893.0,38.9,38.5,39.4,38.5
20000107,,1722,台肥,0.21,32.0,0.64,,,,,,,,,,0.03,,,,,15515.0,41.6,39.7,41.6,39.9
20000110,,1722,台肥,0.33,33.28,1.0,,,,,,,,,,0.03,,,,,16992.0,44.5,43.0,44.5,44.5
20000111,,1722,台肥,0.35,32.94,1.06,,,,,,,,,,0.03,,,,,17895.0,44.6,44.3,47.3,44.9
20000112,,1722,台肥,0.27,32.6,0.83,,,,,,,,,,0.03,,,,,3049.0,41.5,41.5,41.5,41.5
20000113,,1722,台肥,0.23,33.61,0.68,,,,,,,,,,0.03,,,,,15703.0,40.2,38.7,41.1,38.7
20000114,,1722,台肥,0.06,33.34,0.19,,,,,,,,,,0.03,,,,,6544.0,39.6,39.5,40.5,40.2
20000115,,1722,台肥,0.04,32.72,0.11,,,,,,,,,,0.03,,,,,4493.0,39.9,39.5,40.2,40.0
20000117,,1722,台肥,0.04,33.14,0.13,,,,,,,,,,0.03,,,,,8887.0,41.0,39.9,41.5,40.0
20000118,,1722,台肥,0.04,33.08,0.12,,,,,,,,,,0.03,,,,,5725.0,40.6,40.5,41.5,41.3
20000119,,1722,台肥,0.04,34.35,0.12,,,,,,,,,,0.04,,,,,11509.0,41.9,40.6,42.7,40.6
20000120,,1722,台肥,0.03,34.83,0.08,,,,,,,,,,0.04,,,,,8164.0,40.8,40.6,43.0,42.1
20000121,,1722,台肥,0.03,34.71,0.08,,,,,,,,,,0.04,,,,,5673.0,40.9,40.1,41.3,40.7
20000124,,1722,台肥,0.03,34.48,0.08,,,,,,,,,,0.04,,,,,5579.0,40.9,40.8,41.5,41.3
20000125,,1722,台肥,0.03,35.73,0.08,,,,,,,,,,0.04,,,,,9864.0,41.7,41.0,42.5,41.0
20000126,,1722,台肥,0.04,36.68,0.12,,,,,,,,,,0.04,,,,,17060.0,43.4,41.5,44.0,42.3
20000127,,1722,台肥,0.04,37.41,0.12,,,,,,,,,,0.05,,,,,14768.0,43.1,43.1,44.5,43.4
20000128,,1722,台肥,0.04,34.73,0.1,,,,,,,,,,0.05,,,,,7978.0,42.6,42.3,43.6,43.6
20000129,,1722,台肥,0.04,37.81,0.12,,,,,,,,,,0.05,,,,,11273.0,42.8,42.3,43.7,42.5
20000131,,1722,台肥,0.07,37.89,0.17,,,,,,,,,,0.12,,,,,17173.0,44.5,43.0,44.5,43.0
20000201,,1722,台肥,0.11,37.21,0.29,,,,,,,,,,0.14,,,,,31627.0,46.1,44.8,47.3,45.7
20000209,,1722,台肥,0.1,38.16,0.26,,,,,,,,,,0.14,,,,,12040.0,45.3,45.0,46.5,46.5
20000210,,1722,台肥,0.1,39.55,0.27,,,,,,,,,,0.14,,,,,21334.0,48.4,45.3,48.4,45.3
20000211,,1722,台肥,0.08,40.9,0.19,,,,,,,,,,0.14,,,,,19688.0,47.0,47.0,49.6,49.6
20000214,,1722,台肥,0.07,40.96,0.2,,,,,,,,,,0.06,,,,,10565.0,45.5,45.5,47.5,47.3
20000215,,1722,台肥,0.06,40.56,0.15,,,,,,,,,,0.06,,,,,6320.0,44.3,44.3,46.2,45.6
20000216,,1722,台肥,0.06,41.01,0.15,,,,,,,,,,0.06,,,,,9525.0,45.8,44.6,46.3,44.8
20000217,,1722,台肥,0.1,42.01,0.24,,,,,,,,,,0.06,,,,,22821.0,46.7,46.2,47.9,46.3
20000218,,1722,台肥,0.05,40.55,0.13,,,,,,,,,,0.06,,,,,9573.0,45.3,45.2,47.5,46.8
20000219,,1722,台肥,0.09,40.83,0.22,,,,,,,,,,0.06,,,,,18028.0,48.4,45.3,48.4,45.3
20000221,,1722,台肥,0.07,42.31,0.17,,,,,,,,,,0.06,,,,,23968.0,46.9,46.9,49.2,48.5
20000222,,1722,台肥,0.06,41.54,0.15,,,,,,,,,,0.06,,,,,8225.0,45.3,44.5,46.9,46.1
20000223,,1722,台肥,0.08,41.36,0.2,,,,,,,,,,0.07,,,,,5441.0,45.0,45.0,46.1,45.6
20000224,,1722,台肥,0.08,41.07,0.2,,,,,,,,,,0.07,,,,,5957.0,44.6,44.5,46.0,46.0
20000225,,1722,台肥,0.07,40.54,0.17,,,,,,,,,,0.07,,,,,7355.0,41.8,41.6,44.8,44.8
20000229,,1722,台肥,0.09,40.43,0.21,,,,,,,,,,0.07,,,,,3402.0,41.9,41.5,42.7,42.0
20000301,,1722,台肥,0.09,40.41,0.23,,,,,,,,,,0.06,,,,,2903.0,42.8,42.1,43.3,42.5
20000302,,1722,台肥,0.08,40.19,0.21,,,,,,,,,,0.05,,,,,2954.0,42.1,42.0,43.5,43.5
20000303,,1722,台肥,0.08,39.84,0.2,,,,,,,,,,0.05,,,,,3297.0,41.7,41.6,42.6,42.2
20000304,,1722,台肥,0.08,39.49,0.2,,,,,,,,,,0.05,,,,,2697.0,41.0,41.0,42.3,42.0
20000306,,1722,台肥,0.08,39.23,0.19,,,,,,,,,,0.05,,,,,4765.0,40.0,39.9,41.0,41.0
20000307,,1722,台肥,0.03,39.32,0.07,,,,,,,,,,0.05,,,,,2935.0,40.5,40.0,40.8,40.5
20000308,,1722,台肥,0.02,39.5,0.04,,,,,,,,,,0.05,,,,,2884.0,40.8,40.4,41.3,40.8
20000309,,1722,台肥,0.0,39.51,0.0,,,,,,,,,,0.05,,,,,3800.0,41.0,40.8,41.7,41.5
