date,day_close_rate,code,name,voucher_usage_rate,utilization_usage_rate,voucher_utilization_ratio,after_market_p,score,trust_cost,trust_ratio,trust_bs,self_cost,self_ratio,self_bs,foreign_cost,foreign_ratio,foreign_bs,external_disk,inner_disk,tail_volume,volume,close,low,high,open
20000104,,1402,遠東新,2.07,8.79,23.52,,,,,,,,,,22.29,,,,,41007.0,79.5,76.0,80.0,77.0
20000105,,1402,遠東新,1.83,7.94,23.01,,,,,,,,,,22.35,,,,,22000.0,78.0,76.0,78.5,76.5
20000106,,1402,遠東新,1.77,7.63,23.21,,,,,,,,,,22.37,,,,,23119.0,77.0,77.0,82.5,78.0
20000107,,1402,遠東新,1.57,7.98,19.74,,,,,,,,,,22.16,,,,,19195.0,73.5,72.0,76.0,75.0
20000110,,1402,遠東新,1.51,8.72,17.37,,,,,,,,,,21.91,,,,,22052.0,73.5,72.0,74.0,73.0
20000111,,1402,遠東新,1.42,8.53,16.72,,,,,,,,,,22.04,,,,,24192.0,70.0,69.0,75.0,74.5
20000112,,1402,遠東新,1.43,8.63,16.6,,,,,,,,,,22.09,,,,,17582.0,71.5,70.0,73.5,70.5
20000113,,1402,遠東新,1.16,9.13,12.77,,,,,,,,,,21.77,,,,,20725.0,68.5,68.0,72.5,71.5
20000114,,1402,遠東新,1.15,9.22,12.43,,,,,,,,,,21.81,,,,,13431.0,69.5,67.5,70.5,68.5
20000115,,1402,遠東新,1.15,9.09,12.69,,,,,,,,,,21.83,,,,,10325.0,71.0,70.5,72.0,71.0
20000117,,1402,遠東新,1.13,9.1,12.58,,,,,,,,,,21.86,,,,,11443.0,71.0,70.5,72.5,71.0
20000118,,1402,遠東新,1.2,9.01,13.31,,,,,,,,,,21.87,,,,,12004.0,71.0,70.5,72.5,71.5
20000119,,1402,遠東新,1.57,9.35,16.78,,,,,,,,,,21.92,,,,,42991.0,73.5,71.0,75.5,71.5
20000120,,1402,遠東新,1.77,10.13,17.45,,,,,,,,,,21.89,,,,,44001.0,76.0,74.0,78.0,74.0
20000121,,1402,遠東新,1.9,9.88,19.28,,,,,,,,,,21.87,,,,,25584.0,76.0,75.0,77.5,76.0
20000124,,1402,遠東新,1.59,9.5,16.8,,,,,,,,,,21.94,,,,,17340.0,73.0,73.0,77.0,76.0
20000125,,1402,遠東新,1.66,9.17,18.06,,,,,,,,,,21.98,,,,,16701.0,74.5,72.5,75.5,72.5
20000126,,1402,遠東新,1.58,8.97,17.6,,,,,,,,,,22.03,,,,,12147.0,73.0,73.0,75.5,74.5
20000127,,1402,遠東新,1.24,9.28,13.36,,,,,,,,,,21.73,,,,,16648.0,71.0,71.0,73.5,73.5
20000128,,1402,遠東新,1.02,8.91,11.72,,,,,,,,,,21.76,,,,,11518.0,70.0,69.0,71.0,70.0
20000129,,1402,遠東新,1.23,9.05,13.35,,,,,,,,,,21.74,,,,,12169.0,71.5,70.0,72.5,70.0
20000131,,1402,遠東新,1.18,9.02,13.07,,,,,,,,,,21.67,,,,,8634.0,72.0,71.0,73.0,72.0
20000201,,1402,遠東新,1.24,8.98,13.82,,,,,,,,,,21.7,,,,,18233.0,74.0,72.0,75.0,73.0
20000209,,1402,遠東新,1.1,9.37,11.84,,,,,,,,,,21.46,,,,,22287.0,73.0,72.0,76.5,76.5
20000210,,1402,遠東新,1.04,9.51,10.92,,,,,,,,,,21.35,,,,,17823.0,72.0,70.5,73.0,72.0
20000211,,1402,遠東新,1.0,9.84,10.12,,,,,,,,,,21.25,,,,,17645.0,70.5,70.5,73.5,72.0
20000214,,1402,遠東新,1.01,10.17,9.95,,,,,,,,,,21.25,,,,,20881.0,71.5,70.0,73.0,70.5
20000215,,1402,遠東新,1.11,10.3,10.83,,,,,,,,,,21.32,,,,,25994.0,74.5,71.0,75.0,72.0
20000216,,1402,遠東新,1.52,11.05,13.82,,,,,,,,,,21.4,,,,,46438.0,79.5,74.0,79.5,76.0
20000217,,1402,遠東新,1.49,10.98,13.53,,,,,,,,,,21.55,,,,,59370.0,83.0,81.0,85.0,81.0
20000218,,1402,遠東新,1.2,10.53,11.42,,,,,,,,,,21.68,,,,,25784.0,78.0,78.0,85.0,84.0
20000219,,1402,遠東新,1.2,10.95,11.04,,,,,,,,,,21.69,,,,,29168.0,78.0,77.0,81.5,80.0
20000221,,1402,遠東新,0.94,10.64,8.78,,,,,,,,,,21.68,,,,,16885.0,73.0,73.0,79.0,78.0
20000222,,1402,遠東新,0.81,10.39,7.77,,,,,,,,,,21.7,,,,,13924.0,71.0,70.5,73.0,71.0
20000223,,1402,遠東新,0.79,10.35,7.69,,,,,,,,,,21.62,,,,,11718.0,72.5,71.0,72.5,72.0
20000224,,1402,遠東新,0.76,10.58,7.23,,,,,,,,,,21.6,,,,,9342.0,71.0,71.0,74.0,73.5
20000225,,1402,遠東新,0.65,10.72,6.1,,,,,,,,,,21.44,,,,,13042.0,68.5,68.0,72.5,72.5
20000229,,1402,遠東新,0.6,10.94,5.5,,,,,,,,,,21.43,,,,,13607.0,67.0,66.5,69.5,69.0
20000301,,1402,遠東新,0.59,10.62,5.58,,,,,,,,,,21.47,,,,,12376.0,71.5,68.0,71.5,69.0
