date,day_close_rate,code,name,voucher_usage_rate,utilization_usage_rate,voucher_utilization_ratio,after_market_p,score,trust_cost,trust_ratio,trust_bs,self_cost,self_ratio,self_bs,foreign_cost,foreign_ratio,foreign_bs,external_disk,inner_disk,tail_volume,volume,close,low,high,open
20000104,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000105,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000106,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000107,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000110,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000111,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000112,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000113,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000114,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000115,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000117,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000118,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000119,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000120,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000121,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000124,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000125,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000126,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000127,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000128,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000129,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000131,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000201,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000209,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000210,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000211,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000214,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000215,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000216,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000217,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000218,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000219,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000221,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000222,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000223,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000224,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000225,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000229,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000301,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000302,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000303,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000304,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000306,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000307,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000308,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000309,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000310,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000313,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000314,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000315,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000316,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
20000317,,2049,上銀,,,,,,,,,,,,,,,,,,,,,,
