date,day_close_rate,code,name,voucher_usage_rate,utilization_usage_rate,voucher_utilization_ratio,after_market_p,score,trust_cost,trust_ratio,trust_bs,self_cost,self_ratio,self_bs,foreign_cost,foreign_ratio,foreign_bs,external_disk,inner_disk,tail_volume,volume,close,low,high,open
20000104,,2377,微星,2.22,45.02,4.95,,,,,,,,,,0.34,,,,,7352.0,180.0,175.0,185.0,177.0
20000105,,2377,微星,2.1,44.56,4.7,,,,,,,,,,0.34,,,,,3792.0,176.0,173.0,179.0,176.0
20000106,,2377,微星,2.29,45.83,4.99,,,,,,,,,,0.33,,,,,4517.0,178.0,175.0,181.0,176.0
20000107,,2377,微星,2.29,46.6,4.91,,,,,,,,,,0.33,,,,,5010.0,180.0,174.0,181.0,176.0
20000110,,2377,微星,2.27,49.21,4.61,,,,,,,,,,0.33,,,,,9505.0,187.0,181.0,189.0,182.0
20000111,,2377,微星,2.35,51.64,4.7,,,,,,,,,,0.33,,,,,14989.0,187.0,185.0,197.0,192.0
20000112,,2377,微星,2.65,52.13,5.12,,,,,,,,,,0.33,,,,,14034.0,200.0,187.0,200.0,188.0
20000113,,2377,微星,2.85,50.71,5.62,,,,,,,,,,0.33,,,,,14959.0,200.0,198.0,208.0,205.0
20000114,,2377,微星,2.23,49.71,4.48,,,,,,,,,,0.34,,,,,6257.0,191.0,191.0,203.0,202.0
20000115,,2377,微星,2.17,49.56,4.38,,,,,,,,,,0.33,,,,,6814.0,197.0,191.0,200.0,195.0
20000117,,2377,微星,2.0,50.16,4.0,,,,,,,,,,0.33,,,,,5622.0,197.0,196.0,202.0,200.0
20000118,,2377,微星,1.77,50.98,3.46,,,,,,,,,,0.33,,,,,3277.0,195.0,192.0,199.0,198.0
20000119,,2377,微星,1.55,50.69,3.06,,,,,,,,,,0.33,,,,,5187.0,187.0,186.0,194.0,194.0
20000120,,2377,微星,1.43,52.16,2.74,,,,,,,,,,0.33,,,,,3603.0,188.0,182.0,189.0,187.0
20000121,,2377,微星,1.43,51.88,2.78,,,,,,,,,,0.33,,,,,2778.0,185.0,185.0,191.0,188.0
20000124,,2377,微星,1.44,52.26,2.75,,,,,,,,,,0.33,,,,,2281.0,183.0,183.0,188.0,187.0
20000125,,2377,微星,1.29,53.41,2.42,,,,,,,,,,0.33,,,,,2748.0,182.0,180.0,184.0,181.0
20000126,,2377,微星,1.3,53.33,2.43,,,,,,,,,,0.34,,,,,2966.0,185.0,181.0,187.0,181.0
20000127,,2377,微星,1.21,52.85,2.29,,,,,,,,,,0.35,,,,,1811.0,181.0,181.0,187.0,186.0
20000128,,2377,微星,1.25,50.81,2.51,,,,,,,,,,0.35,,,,,3430.0,185.0,180.0,188.0,180.0
20000129,,2377,微星,1.3,52.81,2.43,,,,,,,,,,0.35,,,,,1860.0,187.0,184.0,188.0,185.0
20000131,,2377,微星,1.37,51.56,2.67,,,,,,,,,,0.75,,,,,4254.0,191.0,187.0,193.0,189.0
20000201,,2377,微星,1.26,51.18,2.48,,,,,,,,,,0.75,,,,,2753.0,192.0,191.0,196.0,195.0
20000209,,2377,微星,1.23,50.7,2.45,,,,,,,,,,1.26,,,,,5363.0,190.0,188.0,197.0,194.0
20000210,,2377,微星,1.26,51.11,2.46,,,,,,,,,,1.24,,,,,2412.0,191.0,188.0,194.0,190.0
20000211,,2377,微星,1.32,53.1,2.5,,,,,,,,,,1.24,,,,,6669.0,194.0,191.0,199.0,192.0
20000214,,2377,微星,1.23,54.15,2.29,,,,,,,,,,1.24,,,,,4720.0,191.0,190.0,198.0,194.0
20000215,,2377,微星,1.18,53.47,2.21,,,,,,,,,,1.24,,,,,2114.0,190.0,188.0,193.0,191.0
20000216,,2377,微星,1.14,52.95,2.15,,,,,,,,,,1.24,,,,,2307.0,188.0,188.0,193.0,191.0
20000217,,2377,微星,1.13,52.97,2.14,,,,,,,,,,1.23,,,,,2361.0,189.0,188.0,191.0,190.0
20000218,,2377,微星,1.12,52.7,2.12,,,,,,,,,,1.23,,,,,2058.0,188.0,188.0,193.0,190.0
20000219,,2377,微星,1.08,52.1,2.07,,,,,,,,,,1.23,,,,,1767.0,186.0,185.0,190.0,188.0
20000221,,2377,微星,0.95,51.38,1.84,,,,,,,,,,1.24,,,,,2250.0,181.0,180.0,186.0,186.0
20000222,,2377,微星,0.93,51.16,1.82,,,,,,,,,,1.14,,,,,2083.0,183.0,178.0,185.0,179.0
20000223,,2377,微星,0.94,50.36,1.86,,,,,,,,,,1.14,,,,,1633.0,182.0,181.0,186.0,185.0
20000224,,2377,微星,0.96,51.91,1.85,,,,,,,,,,0.83,,,,,3450.0,183.0,183.0,188.0,184.0
20000225,,2377,微星,1.07,51.23,2.09,,,,,,,,,,0.83,,,,,1702.0,183.0,182.0,186.0,185.0
20000229,,2377,微星,0.96,50.84,1.88,,,,,,,,,,0.83,,,,,1528.0,181.0,180.0,185.0,185.0
20000301,,2377,微星,0.94,50.84,1.86,,,,,,,,,,0.63,,,,,998.0,182.0,181.0,184.0,183.0
20000302,,2377,微星,0.93,51.27,1.82,,,,,,,,,,0.63,,,,,1374.0,181.0,180.0,185.0,184.0
20000303,,2377,微星,0.93,50.91,1.82,,,,,,,,,,0.63,,,,,1148.0,179.0,179.0,182.0,181.0
20000304,,2377,微星,0.82,51.01,1.61,,,,,,,,,,0.63,,,,,1396.0,179.0,179.0,183.0,182.0
20000306,,2377,微星,0.8,50.47,1.58,,,,,,,,,,0.55,,,,,1067.0,176.0,176.0,179.0,179.0
20000307,,2377,微星,0.79,50.11,1.58,,,,,,,,,,0.55,,,,,1420.0,177.0,175.0,180.0,175.0
20000308,,2377,微星,0.85,50.2,1.68,,,,,,,,,,0.55,,,,,1336.0,179.0,178.0,181.0,180.0
20000309,,2377,微星,0.88,48.69,1.82,,,,,,,,,,0.55,,,,,5951.0,190.0,180.0,191.0,181.0
20000310,,2377,微星,0.85,47.88,1.77,,,,,,,,,,0.55,,,,,4423.0,188.0,187.0,193.0,193.0
20000313,,2377,微星,0.72,46.13,1.56,,,,,,,,,,0.55,,,,,2782.0,175.0,175.0,185.0,185.0
20000314,,2377,微星,0.83,45.62,1.82,,,,,,,,,,0.55,,,,,1980.0,179.0,175.0,182.0,175.0
20000315,,2377,微星,0.9,44.77,2.0,,,,,,,,,,0.55,,,,,1973.0,179.0,178.0,183.0,179.0
20000316,,2377,微星,0.76,44.58,1.71,,,,,,,,,,0.46,,,,,1946.0,179.0,170.0,180.0,175.0
20000317,,2377,微星,0.45,43.89,1.03,,,,,,,,,,0.46,,,,,1752.0,178.0,176.0,180.0,180.0
