date,day_close_rate,code,name,voucher_usage_rate,utilization_usage_rate,voucher_utilization_ratio,after_market_p,score,trust_cost,trust_ratio,trust_bs,self_cost,self_ratio,self_bs,foreign_cost,foreign_ratio,foreign_bs,external_disk,inner_disk,tail_volume,volume,close,low,high,open
20000104,,2882,國泰金,,,0.09,,,,,,,,,,,,,,,16394.0,75.5,74.5,76.5,75.5
20000105,,2882,國泰金,,,0.18,,,,,,,,,,,,,,,23859.0,78.0,75.5,79.5,75.5
20000106,,2882,國泰金,,,0.2,,,,,,,,,,,,,,,29462.0,81.0,79.0,82.0,79.0
20000107,,2882,國泰金,,,0.1,,,,,,,,,,,,,,,15886.0,78.0,78.0,82.0,81.0
20000110,,2882,國泰金,,,0.16,,,,,,,,,,,,,,,11734.0,79.0,78.0,80.0,79.0
20000111,,2882,國泰金,,,0.33,,,,,,,,,,,,,,,42894.0,81.5,80.0,84.0,80.5
20000112,,2882,國泰金,,,0.33,,,,,,,,,,,,,,,23641.0,82.0,81.5,84.0,82.0
20000113,,2882,國泰金,,,0.51,,,,,,,,,,,,,,,51444.0,87.5,84.5,87.5,84.5
20000114,,2882,國泰金,,,3.14,,,,,,,,,,,,,,,63900.0,89.0,88.0,90.5,89.0
20000115,,2882,國泰金,,,1.45,,,,,,,,,,,,,,,25677.0,88.5,88.0,91.0,91.0
20000117,,2882,國泰金,,,1.3,,,,,,,,,,,,,,,22129.0,90.0,89.0,91.5,89.5
20000118,,2882,國泰金,,,1.08,,,,,,,,,,,,,,,12408.0,88.5,87.5,90.5,90.5
20000119,,2882,國泰金,,,0.98,,,,,,,,,,,,,,,12034.0,86.0,86.0,88.5,88.0
20000120,,2882,國泰金,,,1.06,,,,,,,,,,,,,,,12389.0,87.5,85.0,87.5,86.0
20000121,,2882,國泰金,,,1.07,,,,,,,,,,,,,,,20387.0,91.0,87.5,91.0,88.5
20000124,,2882,國泰金,,,1.07,,,,,,,,,,,,,,,24301.0,91.0,91.0,92.5,91.0
20000125,,2882,國泰金,,,0.77,,,,,,,,,,,,,,,11266.0,89.0,89.0,91.0,91.0
20000126,,2882,國泰金,,,0.69,,,,,,,,,,,,,,,16321.0,89.0,89.0,90.5,89.0
20000127,,2882,國泰金,,,0.5,,,,,,,,,,,,,,,19802.0,90.0,89.5,91.5,90.0
20000128,,2882,國泰金,,,0.63,,,,,,,,,,,,,,,42933.0,95.5,92.0,96.0,92.0
20000129,,2882,國泰金,,,0.4,,,,,,,,,,,,,,,15284.0,93.0,92.5,95.5,95.0
20000131,,2882,國泰金,,,0.38,,,,,,,,,,,,,,,12195.0,93.5,93.0,94.5,93.0
20000201,,2882,國泰金,,,0.42,,,,,,,,,,,,,,,22051.0,95.0,94.5,96.5,95.0
20000209,,2882,國泰金,,,0.42,,,,,,,,,,,,,,,17896.0,94.5,94.0,97.0,97.0
20000210,,2882,國泰金,,,0.42,,,,,,,,,,,,,,,15039.0,94.5,94.5,97.0,94.5
20000211,,2882,國泰金,,,0.33,,,,,,,,,,,,,,,13655.0,93.0,93.0,95.5,95.0
20000214,,2882,國泰金,,,0.28,,,,,,,,,,,,,,,12387.0,91.0,90.5,93.0,93.0
20000215,,2882,國泰金,,,0.25,,,,,,,,,,,,,,,8831.0,89.5,89.0,91.0,91.0
20000216,,2882,國泰金,,,0.25,,,,,,,,,,,,,,,5705.0,90.0,89.5,91.0,90.0
20000217,,2882,國泰金,,,0.26,,,,,,,,,,,,,,,14684.0,91.0,90.0,93.0,90.0
20000218,,2882,國泰金,,,0.28,,,,,,,,,,,,,,,10821.0,90.0,90.0,93.0,92.5
