date,day_close_rate,code,name,voucher_usage_rate,utilization_usage_rate,voucher_utilization_ratio,after_market_p,score,trust_cost,trust_ratio,trust_bs,self_cost,self_ratio,self_bs,foreign_cost,foreign_ratio,foreign_bs,external_disk,inner_disk,tail_volume,volume,close,low,high,open
20000104,,1303,南亞,0.95,12.81,7.57,,,,,,,,,,7.91,,,,,62404.0,73.5,71.5,73.5,72.5
20000105,,1303,南亞,0.89,12.46,7.13,,,,,,,,,,7.94,,,,,45752.0,73.0,72.0,74.0,72.0
20000106,,1303,南亞,0.91,12.4,7.34,,,,,,,,,,8.0,,,,,45398.0,73.0,72.0,75.5,73.0
20000107,,1303,南亞,0.92,12.5,7.38,,,,,,,,,,8.01,,,,,29670.0,73.0,72.0,74.0,73.0
20000110,,1303,南亞,0.97,12.69,7.81,,,,,,,,,,8.17,,,,,48770.0,78.0,73.5,78.0,73.5
20000111,,1303,南亞,0.96,12.38,7.71,,,,,,,,,,8.3,,,,,55304.0,74.0,74.0,79.5,79.5
20000112,,1303,南亞,0.96,12.75,7.5,,,,,,,,,,8.33,,,,,24094.0,75.0,74.0,75.5,74.5
20000113,,1303,南亞,0.95,12.85,7.38,,,,,,,,,,8.38,,,,,30278.0,73.0,73.0,76.0,76.0
20000114,,1303,南亞,0.95,12.96,7.3,,,,,,,,,,8.41,,,,,24719.0,72.5,72.0,74.0,73.5
20000115,,1303,南亞,0.96,13.22,7.29,,,,,,,,,,8.4,,,,,18411.0,73.5,73.0,74.5,73.5
20000117,,1303,南亞,0.97,13.42,7.21,,,,,,,,,,8.41,,,,,23776.0,75.0,74.0,76.0,74.5
20000118,,1303,南亞,0.94,13.25,7.11,,,,,,,,,,8.43,,,,,21812.0,73.5,73.0,75.0,75.0
20000119,,1303,南亞,0.94,12.87,7.32,,,,,,,,,,8.45,,,,,20308.0,73.5,73.0,74.0,73.5
20000120,,1303,南亞,0.93,12.93,7.18,,,,,,,,,,8.46,,,,,13397.0,73.0,72.0,73.5,73.5
20000121,,1303,南亞,0.94,13.47,7.0,,,,,,,,,,8.49,,,,,29629.0,73.0,73.0,75.0,73.0
20000124,,1303,南亞,0.94,13.77,6.82,,,,,,,,,,8.52,,,,,23933.0,73.5,73.0,74.5,74.0
20000125,,1303,南亞,0.93,13.85,6.74,,,,,,,,,,8.44,,,,,20577.0,72.0,72.0,73.5,73.5
20000126,,1303,南亞,0.93,13.88,6.73,,,,,,,,,,8.46,,,,,20225.0,72.5,72.5,73.5,72.5
20000127,,1303,南亞,0.93,14.01,6.65,,,,,,,,,,8.47,,,,,28335.0,73.0,72.5,74.5,73.0
20000128,,1303,南亞,0.91,13.48,6.68,,,,,,,,,,8.51,,,,,33562.0,74.0,73.5,75.0,74.0
20000129,,1303,南亞,0.93,14.04,6.71,,,,,,,,,,8.51,,,,,15868.0,73.0,72.5,74.0,74.0
20000131,,1303,南亞,0.93,13.81,6.76,,,,,,,,,,8.59,,,,,18026.0,74.0,72.5,74.5,73.0
20000201,,1303,南亞,1.0,13.73,7.24,,,,,,,,,,8.58,,,,,18829.0,74.0,73.5,75.0,75.0
20000209,,1303,南亞,1.0,13.82,7.21,,,,,,,,,,8.6,,,,,37084.0,75.0,74.0,76.0,75.5
20000210,,1303,南亞,1.0,13.48,7.39,,,,,,,,,,8.63,,,,,17995.0,74.0,73.5,75.5,75.0
20000211,,1303,南亞,1.0,13.75,7.27,,,,,,,,,,8.65,,,,,29958.0,74.0,74.0,76.0,75.0
20000214,,1303,南亞,1.02,13.49,7.58,,,,,,,,,,8.65,,,,,25772.0,74.5,73.5,75.5,74.5
20000215,,1303,南亞,1.0,13.42,7.43,,,,,,,,,,8.65,,,,,10574.0,73.5,73.0,75.0,74.5
20000216,,1303,南亞,1.0,13.77,7.25,,,,,,,,,,8.62,,,,,19996.0,74.0,73.5,75.0,74.0
20000217,,1303,南亞,1.05,14.1,7.45,,,,,,,,,,8.62,,,,,44820.0,74.5,74.5,76.5,74.5
20000218,,1303,南亞,1.04,14.16,7.35,,,,,,,,,,8.61,,,,,26329.0,73.5,73.5,76.0,75.0
20000219,,1303,南亞,1.03,14.17,7.25,,,,,,,,,,8.6,,,,,17653.0,73.5,72.5,74.0,73.5
20000221,,1303,南亞,1.02,14.02,7.27,,,,,,,,,,8.64,,,,,21071.0,72.0,72.0,74.0,73.5
20000222,,1303,南亞,1.0,13.95,7.2,,,,,,,,,,8.61,,,,,19358.0,70.0,69.0,71.5,71.0
20000223,,1303,南亞,1.0,13.93,7.21,,,,,,,,,,8.57,,,,,13346.0,69.5,69.0,70.5,70.0
20000224,,1303,南亞,1.0,13.93,7.21,,,,,,,,,,8.55,,,,,12401.0,68.5,68.5,70.5,69.5
20000225,,1303,南亞,1.0,13.71,7.29,,,,,,,,,,8.47,,,,,20438.0,67.0,67.0,69.0,68.5
20000229,,1303,南亞,1.04,13.76,7.55,,,,,,,,,,8.4,,,,,14099.0,68.0,67.0,69.0,68.0
20000301,,1303,南亞,1.05,13.84,7.56,,,,,,,,,,8.42,,,,,19106.0,70.5,70.0,71.0,70.0
20000302,,1303,南亞,1.04,13.69,7.62,,,,,,,,,,8.4,,,,,11221.0,69.0,69.0,71.0,71.0
20000303,,1303,南亞,1.04,13.69,7.6,,,,,,,,,,8.37,,,,,10687.0,68.5,68.0,69.5,69.0
20000304,,1303,南亞,1.04,13.75,7.58,,,,,,,,,,8.39,,,,,13868.0,67.0,67.0,69.5,69.0
20000306,,1303,南亞,1.05,13.71,7.62,,,,,,,,,,8.35,,,,,10246.0,66.5,66.5,67.5,67.0
20000307,,1303,南亞,1.05,13.52,7.75,,,,,,,,,,8.34,,,,,11221.0,67.5,66.5,68.0,66.5
20000308,,1303,南亞,1.05,13.48,7.79,,,,,,,,,,8.28,,,,,15075.0,67.5,67.0,68.5,68.0
20000309,,1303,南亞,1.07,13.46,7.97,,,,,,,,,,8.29,,,,,15637.0,68.5,67.5,69.0,68.0
20000310,,1303,南亞,1.07,13.29,8.06,,,,,,,,,,8.3,,,,,12869.0,67.5,67.5,69.0,69.0
20000313,,1303,南亞,1.06,12.75,8.34,,,,,,,,,,8.25,,,,,36567.0,63.0,63.0,67.0,65.0
20000314,,1303,南亞,1.07,12.58,8.47,,,,,,,,,,8.15,,,,,18039.0,65.0,62.5,65.0,63.5
20000315,,1303,南亞,1.11,12.19,9.12,,,,,,,,,,8.15,,,,,20459.0,64.5,64.0,66.5,65.0
20000316,,1303,南亞,1.13,11.65,9.71,,,,,,,,,,8.17,,,,,33113.0,65.5,63.0,66.0,66.0
20000317,,1303,南亞,1.38,10.76,12.64,,,,,,,,,,8.14,,,,,54444.0,68.5,65.5,70.0,66.5
20000320,,1303,南亞,1.37,10.74,12.8,,,,,,,,,,8.14,,,,,835.0,66.5,66.5,66.5,66.5
20000321,,1303,南亞,1.31,11.02,11.72,,,,,,,,,,8.15,,,,,33970.0,70.5,64.5,70.5,64.5
20000322,,1303,南亞,1.19,11.35,10.6,,,,,,,,,,8.15,,,,,29157.0,69.5,68.5,71.5,70.0
20000323,,1303,南亞,1.25,12.04,10.44,,,,,,,,,,8.2,,,,,58058.0,74.0,71.0,74.0,71.0
